智能式決策,-
複合式穩健流程設計,-
前瞻式產能設計,-
Crucifer black rot,health testing
PCR,seed purity
巴斯德畢赤酵母,&lt;/i&gt;: pichia pastoris
長壽花,&lt;i&gt; kalanchoe &lt;/i&gt;
中華褐金龜,&lt;i&gt;Adoretus sinicus&lt;/i&gt; Burmeister
平腹小蜂,&lt;i&gt;Anastatus japonicas&lt;i/&gt;
日本鰻,&lt;i&gt;Anguilla japonica&lt;/i&gt;
牛樟菌,&lt;i&gt;Antrodia cinnamomea&lt;i&gt;
芽孢桿菌,&lt;i&gt;Bacillus&lt;/i&gt; sp.
葡萄藻屬,&lt;i&gt;Botryococcus &lt;/i&gt;spp
油茶,&lt;i&gt;Camellia&lt;/i&gt; spp.
彫木蛾,&lt;i&gt;Casmara patrona&lt;/i&gt;
鸚鵡刺尻魚(火焰神仙),&lt;i&gt;Centropyge loriculus&lt;/i&gt;
土肉桂,&lt;i&gt;Cinnamomum osmophloeum&lt;i&gt; Kaneh
伽羅木醇型土肉桂,&lt;i&gt;Cinnamoum osmophloeum&lt;/i&gt; ct. linalool
伽羅木醇型土肉桂,&lt;i&gt;Cinnamoumum osmophloeum&lt;/i&gt; ct. lianlool
鬼頭刀腦下垂體,&lt;i&gt;Coryphaena hippurus&lt;/i&gt; pituitary
牡蠣,&lt;i&gt;Crassostrea angulata&lt;i/&gt;
大花蕙蘭,&lt;i&gt;Cymbidium hybridum&lt;/i&gt;
石斛蘭,&lt;i&gt;Dendrobium&lt;/i&gt; spp.
點帶石斑,&lt;i&gt;Epinephelus coioides&lt;/i&gt;
鞍帶石斑,&lt;i&gt;Epinephelus lanceolatus&lt;/i&gt;
&lt;i&gt;冷凍乾燥&lt;/i&gt;,&lt;i&gt;Freezing-Dry&lt;/i&gt;
真菌性葉斑病,&lt;i&gt;fungal leaf spot disease&lt;/i&gt;
小鱗瓜子?,&lt;i&gt;Girella punctata&lt;/i&gt;
九孔,&lt;i&gt;Haliotis diversicolor&lt;/i&gt;
野薑花,&lt;i&gt;Hedychium Coronarium&lt;/i&gt;
額斑刺蝶魚(女王神仙),&lt;i&gt;Holacanthus ciliaris&lt;/i&gt;
阿根廷魷,&lt;i&gt;Illex argentinus&lt;/i&gt;
阿根廷魷魚,&lt;i&gt;Illex argentinus&lt;/i&gt;
非洲鳳仙花,&lt;i&gt;Impatiens walleriana &lt;i/&gt;Hook. f.
銀合歡,&lt;i&gt;Leucaena leucocephala&lt;/i&gt;
白蝦,&lt;i&gt;Litopenaeus vannamei&lt;/i&gt;
山胡椒,&lt;i&gt;Litsea cubeba&lt;/i&gt;
金花石蒜,&lt;i&gt;Lycoris aurea&lt;/i&gt;
櫻桃寶石簾蛤,&lt;i&gt;Mercenaria Mercenaria&lt;/i&gt;
文蛤,&lt;i&gt;Meretrix lusoria&lt;i/&gt;
鹿角鐵皇冠,&lt;i&gt;Microsorium pteropus&lt;/i&gt; 'Windelov'
木虌果,&lt;i&gt;Momordica cochinchinensis&lt;/i&gt;
木虌果,&lt;i&gt;Momordica cochinchinesis&lt;/i&gt;
牛型分枝桿菌,&lt;i&gt;Mycobacterium bovis&lt;/i&gt;
擬球藻,&lt;i&gt;Nannochloropsis oculata&lt;/i&gt;
文心蘭,&lt;i&gt;Oncidium&lt;/i&gt;
小白紋毒蛾,&lt;i&gt;Or
牙鮃,&lt;i&gt;Paralichthys olivaceus&lt;/i&gt;
台灣白魚,&lt;i&gt;Pararasbora moltrechti&lt;/i&gt;
草蝦,&lt;i&gt;Penaeus monodom&lt;/i&gt;
草蝦,&lt;i&gt;Penaeus monodon&lt;/i&gt;
蝴蝶蘭,&lt;i&gt;Phalaenopsis&lt;/i&gt;
蝴蝶蘭,&lt;i&gt;Phalaenopsis&lt;/i&gt; spp.
敏豆,&lt;i&gt;Phaseolus vulgaris &lt;i&gt;L.
瓜類疫病菌,&lt;i&gt;Phytophthora drechsleri&lt;/i&gt;、&lt;i&gt;Phytophthora capsici&lt;/i&gt;
疫病,&lt;i&gt;Phytophthora&lt;/i&gt; blight
豹鱠,&lt;i&gt;Plectropomus leopardus&lt;/i&gt;
豹鱠,&lt;i&gt;Plectropomus leopardus&lt;i&gt;
側多食細?,&lt;i&gt;Polyphagotarsonemus latus &lt;/i&gt;
巴西刺蓋魚(法國神仙),&lt;i&gt;Pomacanthus paru&lt;/i&gt;
遠海梭子蟹,&lt;i&gt;Portunus pelagicus&lt;/i&gt;
雙棘甲尻魚(皇帝神仙),&lt;i&gt;Pygoplites diacanthus&lt;/i&gt;
海木耳,&lt;i&gt;Sarcodia suieae sp. nov&lt;/i&gt;
鰆魚,&lt;i&gt;Scomberomorus commerson&lt;/i&gt;
虎斑烏賊,&lt;i&gt;Sepia pharaonis&lt;/i&gt;
萊氏擬烏賊,&lt;i&gt;Sepioteuthis lessoniana&lt;/i&gt;
&lt;i&gt;甲魚&lt;/i&gt;,&lt;i&gt;Soft-shell Turtle&lt;/i&gt;
荔枝椿象,&lt;i&gt;Tessaratoma papillosa&lt;i/&gt;
番杏,&lt;i&gt;Tetragonia tetragonoides&lt;/i&gt;
可可,&lt;i&gt;Theobroma cacao&lt;/i&gt; L.
菸草微綠嵌?病毒,&lt;i&gt;Tobacco mild green mosaic virus&lt;/i&gt;
番茄輪點病毒,&lt;i&gt;Tomato ringspot virus&lt;/i&gt;
帶魚屬魚類,&lt;i&gt;Trichiurus spp.&lt;/i&gt;
帶魚屬,&lt;i&gt;Trichiurus&lt;i/&gt; spp.
塊菌,&lt;i&gt;Tuber spp.
劍尖槍魷,&lt;i&gt;Uroteuthis edulis&lt;/i&gt;
山葵,&lt;i&gt;Wasabia japonica&lt;/i&gt;
雞糞,(Chicken Manur)
乾燥,(Drying)
分子標誌輔助育種,"(marker-assisted selection,. MAS)"
能力試驗,(proficiency testing)
簡單重複序列,(simple sequence repeat)
骨骼肌生成控制,(Skeletal myogenesis control)
真空系統,(Vacuum system)
益生菌,.
蚜蟲,.
蜂房,.
有機栽培,.
生物性農藥資材,.
芽孢桿菌,.
吸汁類害蟲,.
消化酶,.
太陽能設施,;solar energy facility
檢測分析,?Detection and analysis
國際認證,?International Certification
巨峰葡萄,‘Kyoho’grape
‘竹峰’葡萄,‘Zhu Feng’ grape
‘竹峰’葡萄,‘Zhu Feng’grape
柳橙,’Liucheng’ orange
椪柑,’Ponkan’ Mandarin
智慧生態網站,“Ecological Wisdom” website
小地主大佃農,“Small Land-owners Big Land-renters” Program
菌名,〈/Leptospira〉
善泳蟳,＜/Charybdus natator＞
白線斑蚊,＜/i＞Aedes albopictus
光臘樹,＜/i＞Fraxinus formosana
楓香,＜/i＞Liquidambar formosana
烏心石舅,＜/i＞Magnolia kachirachirai
白千層,＜/i＞Melaleuca leucadendron
抗病媒蚊,＜/i＞Mosquito Larvicidal
擬單性木蘭,＜/i＞Parakmeria
印度紫檀,＜/i＞Pterocarpus indicus
欖仁,＜/i＞Terminalia catappa
台灣櫸,＜/i＞Zelkova formosana
單脈二藥草,＜Halodule uninervis＞
螺旋菌,＜i ＞Azospirillum＜/i＞
木瓜,＜i＞ Carica papaya ＜/i＞ L.
麻豆文旦,＜i＞ Citrus grandis ＜/i＞ Osbeck cv. Matou Wentan
小胡瓜,＜i＞ Cucumis sativus ＜i＞ L.
南瓜,＜i＞ Cucurbita moschata ＜i＞
石斛蘭,＜i＞ Dendrobium ＜/i＞ spp.
龍眼,＜i＞ Dimocarpus Longan ＜/i＞ Lour.
洋桔梗,＜i＞ Eustoma grandiflorum ＜/i＞
紅龍果,＜i＞ Hylocereus sp. ＜I＞
山胡椒,＜i＞ Litsea cubeba＜/i＞
芒果,＜i＞ Mangifera indica＜/i＞ L.
蝴蝶蘭,＜i＞ Phalaenopsis ＜/i＞ spp.
鳳梨釋迦,＜i＞A. hybrida＜/i＞
秋葵,＜i＞Abelmoschus esculentus＜/i＞ (L.) Moench
台灣冷杉,＜i＞Abies kawakamii＜/i＞
台灣相思樹,＜I＞Acacia confusa＜/I＞
枸杞癭蜱,＜i＞Aceria macrodonis＜/i＞ Keifer
瓜類細菌性果斑病菌,＜i＞Acidovorax avenae＜/i＞ subsp. ＜i＞citrulli＜/i＞
瓜類細菌性果斑病菌,＜i＞Acidovorax avenae＜i＞ subsp. ＜i＞citrulli＜i＞
鹵蕨,＜i＞Acrostichum aureum＜/i＞
豬胸膜肺炎放線桿菌,＜i＞Actinobacillus pleuropneumoniae＜/i＞
碗水母綠螢光蛋白質基因,＜i＞Aequroea coerulescens＜/i＞ Green Flourescent Protein Gene
錐尖擬紅翎藻,＜i＞Agardhiella subulata＜/i＞
粗肋草,＜i＞Aglaonema＜/i＞
農桿叢根菌,＜i＞Agrobacterium rhizogenes＜/i＞
農桿菌基因轉殖,＜i＞Agrobacterium＜/i＞-mediated gene transfer
球菜夜蛾,＜i＞Agrotis ipsilon＜/i＞
蕪菁夜蛾,＜i＞Agrotis segetum＜/i＞
小雲雀,＜i＞Alauda gulgula＜/i＞
觀音蓮,＜i＞Alocasia spp.＜/i＞
淺海狐鮫,＜i＞Alopias pelagicus＜i＞
深海狐鮫,＜i＞Alopias superciliosus＜i＞
台灣赤楊,＜i＞Aluns formosana＜/i＞
台灣穗花杉,＜i＞Amentotaxus formosana＜/i＞
橘色雙冠麗魚,＜i＞Amphilophus citrinellus＜/i＞
鳳梨學名,＜i＞Ananas comosus＜/i＞
當歸,＜i＞Angelica acutiloba＜/i＞
短鰭鰻,＜i＞Anguilla bicolor pacifica＜/i＞
日本鰻,＜i＞Anguilla japonica＜/i＞
鱸鰻,＜i＞Anguilla marmorata＜/i＞
番荔枝,＜i＞Annona squamosa＜/i＞
鳳梨釋迦,＜i＞Annona squamosa＜/i＞ × ＜i＞ Annona cherimola＜/i＞
釋迦,＜i＞Annona squamosa＜/i＞ L.
番荔枝,＜i＞Annona squamosa＜/i＞ Linn.
火鶴花,＜i＞Anthurium＜/i＞
芝麻莢野螟,＜i＞Antigast
芝麻莢野螟,＜i＞Antigastra catalaunalis＜/i＞
抗發炎,＜i＞Antiinflammatory
抗氧化,＜i＞Antioxidation
牛樟芝,＜i＞Antrodia cinnamomea＜/i＞
台灣原始觀音座蓮,＜i＞Archangiopteris somai＜/i＞
蘆蒿,＜i＞Artemisia selengensis＜/i＞
豌豆果莢黑斑病菌,＜i＞Ascochyta pinodes＜/i＞
鳳梨釋迦,＜i＞Atemoya＜/i＞
樟白介殼蟲,＜i＞Aulacaspis yabunikkei＜/i＞
類酵母真菌,＜i＞Aureobasidium pullulans＜/i＞
黑木耳,＜i＞Auricularia polytricha＜/i＞
圓花鰹,＜i＞Auxis rochei＜/i＞
燕麥,＜i＞Avena＜/i＞
液化澱粉芽孢桿菌,＜i＞Bacillus amyloliquefaciens＜/i＞
液化澱粉芽孢桿菌PMB01,＜i＞Bacillus amyloliquefaciens＜/i＞ PMB01
仙人掌桿菌,＜i＞Bacillus cereus＜/i＞
芽孢桿菌,＜i＞Bacillus spp.＜/i＞
枯草桿菌,＜i＞Bacillus subtilis＜/i＞
蘇力菌,＜i＞Bacillus thuringiensis＜/i＞
蘇力菌,＜ｉ＞Bacillus thuringiensis＜／ｉ＞
芽孢桿菌,＜i＞Bacillus＜/i＞ sp.
芽孢桿菌,＜i＞Bacillus＜/i＞ spp.
枯草桿菌,＜i＞Bacillus＜/i＞ spp.
東方果實蠅,＜i＞Bacrocera dorsalis＜/i＞
番石榴果實蠅,＜i＞Bactrocera correcta＜/i＞
瓜實蠅,＜i＞Bactrocera cucurbitae＜/i＞
東方果實蠅,＜i＞Bactrocera dorsalis＜/i＞
南瓜實蠅,＜i＞Bactrocera tau＜/i＞
綠竹,＜i＞Bambusa oldhamii＜/i＞ Munro
頭髮菜,＜i＞Bangia atropurpurea＜/i＞
白殭菌,＜i＞Beauveria bassiana＜/i＞
豆類金黃嵌紋病毒屬,＜i＞Begomovirus＜/i＞
菸草粉蝨,＜i＞Bemisia tabaci＜/i＞
煙草粉蝨,＜i＞Bemisia tabaci＜/i＞
銀葉粉蝨,＜i＞Bemisia tabaci＜/i＞
芥菜,＜i＞Brassica juncea＜/i＞
芥藍,＜i＞Brassica oleracea＜/i＞ L. var. ＜i＞alboglabra＜/i＞
小白菜,＜i＞Brassica rapa＜/i＞ L. var. ＜i＞chinensis＜/i＞
梨木蝨,＜i＞Cacopsylla chinensis＜i＞
秀麗隱桿線蟲,＜i＞Caenorhabditis elegans＜/i＞
彩葉芋,＜i＞Caladium x hortulanum＜/i＞ Birdsey
臺灣肖楠,＜i＞Calocedrus formosana＜/i＞
瓊崖海棠,＜i＞Calophyllum inophyllum＜/i＞
小果油茶,＜i＞Camellia brevistyla＜/i＞
小果種油茶(短柱山茶),＜i＞Camellia brevistyla＜/i＞
大果種油茶,＜i＞Camellia oleifera ＜/i＞
油茶,＜i＞Camellia Oleifera＜/i＞
油茶,＜i＞Camellia Oleifera＜i＞
小果種油茶(細葉油茶),＜i＞Camellia tenuifolia＜/i＞
細葉山茶,＜i＞Camellia tenuifolia＜/i＞
細葉山茶,＜i＞Camellia tenuifolia＜i＞
油茶,＜i＞Camellia＜/i＞ spp
油茶,＜i＞Camellia＜/i＞ spp.
風鈴花,＜i＞Campanula medium＜/i＞ L.
曲狀桿菌,＜i＞Campylobacter＜i＞ spp.
辣椒,＜i＞Capsicum annuum＜/i＞
石竹烯,＜i＞Caryophyllene＜/i＞
花旗木,＜i＞Cassia bakeriana＜i＞
爪哇旃那,＜i＞Cassia javanica＜i＞ Linn.
澎湖決明,＜i＞Cassia sophora ＜i＞ L. var. penghuana
澎湖決明,＜i＞Cassia sophora L. var. penghuana＜i＞
決明屬,＜i＞Cassia＜i＞
栗屬,＜i＞Castanea＜/i＞
日日春,＜i＞Catharanthus roseus＜/i＞(L.) G. Don
台灣粗榧,＜i＞Cephalotaxus wilsoniana＜/i＞
臺灣粗榧,＜i＞Cephalotaxus wilsoniana＜/i＞
櫻花,＜i＞Cerasus spp.＜/i＞
地中海果實蠅,"＜i＞Ceratitits capitata＜/i＞, Mediterranean Fruit Fly"
水蕨,＜i＞Ceratopteris thalictroides＜/i＞
紅檜,＜i＞Chamaecyparis formosensis＜/i＞
臺灣扁柏,＜i＞Chamaecyparis obtusa＜/i＞ var. ＜i＞formosana＜/i＞
臺灣扁柏,＜i＞Chamaecypress obtusa＜/i＞ var. ＜i＞formosana＜i/＞
虱目魚,＜i＞Chanos chanos＜/i＞
善泳蟳,＜i＞Charybdis natator＜/i＞
臺灣藜,＜i＞Chenopodium formosana ＜/i＞Koidz
紅藜,＜i＞Chenopodium formosanum Koidz＜/i＞
臺灣藜,＜i＞Chenopodium formosanum＜/i＞
臺灣藜,＜i＞Chenopodium formosanum＜/i＞ Koidz
臺灣藜,＜i＞Chenopodium formosanum＜/i＞ Koidz.
水稻二化螟,＜i＞Chilo suppressalis＜/i＞
杭菊,＜i＞Chrysanthemum morifolium＜/i＞ Ramat
土肉桂,＜i＞Cinnamomoum osmophloeum＜/i＞
樟樹,＜i＞Cinnamomum camphora＜/i＞
牛樟,＜i＞Cinnamomum kanehirae＜/i＞
牛樟,＜i＞Cinnamomum kanehirae＜/I＞ Hay.
牛樟樹,＜i＞Cinnamomum kanehirai＜/i＞
土肉桂,＜i＞Cinnamomum osmophloeum＜/i＞
土肉桂,＜i＞Cinnamomum osmophloeum＜/i＞ ct. linalool
伽羅木醇型土肉桂,＜i＞Cinnamomum osmophloeum＜/i＞ ct. linalool
土肉桂,＜i＞Cinnamomum osmophlouem＜/i＞
牛樟,＜i＞Cinnamomun kanehirae＜/i＞
牛樟,＜i＞Cinnamoumum kanehirae＜/i＞
麻豆紅柚,＜i＞Citrus grandis＜/i＞ Osbeck cv. ‘‘Matou Hongyu’
麻豆文旦,＜i＞Citrus grandis＜/i＞ Osbeck cv. ‘Matou Wentan‘
麻豆文旦,＜i＞Citrus grandis＜/i＞ Osbeck cv. Matou Wentan
晚崙夏橙,"＜i＞Citrus sinensis＜/i＞, Valencia orange"
產氣莢膜梭菌,＜i＞Clostridium perfringens＜/i＞
瘤野螟,＜i＞Cnaphalocrocis medinalis＜/i＞
瑰蟌屬,＜i＞Coeliccia＜/i＞
台灣無尾葉鼻蝠,＜i＞Coelops frithii formosanus＜/i＞
菜豆炭疽病菌,＜i＞Colletotrichum lindemuthianum＜/i＞
芋,＜i＞Colocasia esculenta＜/i＞
荔枝細蛾,＜i＞Conopomorpha sinesis＜i/＞
＜i＞Crinivirus＜i＞,＜i＞Crinivirus＜i＞
隱棒花屬,＜i＞Cryptocryne＜/i＞
胡瓜,＜i＞Cucumis sativus＜/i＞
西洋南瓜,＜i＞Cucurbita maxima＜/i＞ D
南瓜,＜i＞Cucurbita moschata＜/i＞
真空低溫烹調法,＜i＞Cuisine Sous Vide＜/i＞
福杉,＜i＞Cunninghami
香杉,＜i＞Cunninghamia konishii＜/i＞
福杉,＜i＞Cunninghamia lanceolata＜/i＞
杉木,＜i＞Cunninghamia lanceolata＜/i＞
薑荷花,＜i＞Curcuma alismatifolia＜/i＞
薑荷花,＜i＞Curcuma＜/i＞
薑黃屬,＜i＞Curcuma＜/i＞
青剛櫟,＜i＞Cyclobalanopsis glauca＜/I＞
花姬捲葉蛾,＜i＞Cydia notanthes Meyrick＜/i＞
四季蘭,＜i＞Cymbidium ensifolium＜/i＞
蕙蘭,＜i＞Cymbidium＜/i＞
金童石斛,＜i＞Dendrobium ＜/i＞Cassiope Taiseed Golden Boy No.1
流蘇石斛,＜i＞Dendrobium fimbriatum＜/i＞
石斛蘭,＜i＞Dendrobium＜i＞
麻竹,＜i＞Dendrocalamus latiflorus＜/i＞
瓜類蔓枯病菌,＜i＞Didymella bryoniae＜/i＞
龍眼,＜i＞Dimocarpus Longan＜/i＞ Lour.
毛柿,＜i＞Diospyros discolor＜/i＞
細柄雙蓋蕨,＜i＞Diplazium donianum＜/i＞
朵麗蝶蘭,＜i＞Doritaenopsis＜/i＞
美洲大赤魷,＜i＞Dosidicus gigas＜/i＞
美洲大赤魷(祕魯魷魚),＜i＞Dosidicus gigas＜/i＞
大腸桿菌,＜i＞E. coli＜/i＞
